data,total_bombonas,total_peso
2025-10-17,24,681
2025-10-18,30,804
2025-10-19,27,772
2025-10-20,27,724
2025-10-21,28,811
2025-10-22,30,854
2025-10-23,27,747
2025-10-24,28,853
2025-10-25,34,938
2025-10-26,26,771
2025-10-27,25,680
2025-10-28,27,790
2025-10-29,28,793
2025-10-30,27,911
2025-11-01,25,625
2025-11-02,31,724
2025-11-03,29,799
2025-11-04,31,880
2025-11-05,28,795
2025-11-06,27,838
2025-11-07,28,700
2025-11-08,27,776
2025-11-09,25,625
2025-11-10,25,698
2025-11-11,29,829
2025-11-12,33,878
2025-11-13,29,730
2025-11-14,33,840
2025-11-15,30,821
2025-11-16,27,676
2025-11-17,29,720
2025-11-18,32,790
2025-11-19,33,805
2025-11-20,30,744
2025-11-21,31,755
2025-11-22,29,710
2025-11-23,27,670
2025-11-24,32,881
2025-11-25,30,735
2025-11-26,30,829
2025-11-27,30,745
2025-11-28,34,840
2025-11-29,26,635
2025-11-30,26,645
2025-12-01,27,665
2025-12-02,32,790
2025-12-03,29,725
2025-12-04,30,740
2025-12-05,32,790
2025-12-06,26,645
2025-12-07,0,0
2025-12-08,58,1440
2025-12-09,32,785
2025-12-10,31,765
2025-12-11,33,820
2025-12-12,39,960
2025-12-13,30,750
2025-12-14,28,700
2025-12-15,30,750
2025-12-16,30,735
2025-12-17,34,850
2025-12-18,36,880
2025-12-19,31,765
2025-12-20,31,775
2025-12-21,24,600
2025-12-22,24,600
2025-12-23,27,665
2025-12-24,38,950
2025-12-25,0,0
2025-12-26,32,800
2025-12-27,29,725
2025-12-28,29,675
2025-12-29,25,615
2025-12-30,37,915
2025-12-31,15,360
